YEAR,MAKE,MODEL,CONDITION,TRANSMISSION,CYLINDERS,FUEL,ODOMETER,ENGINE POWER,MILAGE,Price
2011,chevrolet,camaro,Excellent,Automatic,6,gas,12200,Avg CC,6,0
2012,chrysler,town & country,Excellent,Manual,6,gas,111000,Low CC,11,0
2009,jeep,liberty,Excellent,Manual,6,gas,68650,Low CC,49,0
2011,buick,lacrosse,Excellent,Manual,6,gas,123562,High CC,40,0
2008,chevrolet,cobalt,Excellent,Automatic,4,gas,138001,Avg CC,33,0
2013,ford,econoline,Excellent,Manual,8,gas,69163,Avg CC,38,0
2009,kia,borrego,Excellent,Automatic,6,gas,117018,High CC,5,0
2008,ford,f250 xl diesel,Excellent,Manual,8,diesel,294950,Low CC,44,0
2015,ram,promaster city,Excellent,Automatic,4,gas,26313,Avg CC,11,0
2016,chevrolet,silverado 1500,Excellent,Automatic,8,gas,12458,Avg CC,25,2
2006,ford,f250 super duty,Excellent,Automatic,8,diesel,335044,Low CC,6,0
2002,lexus,es 300,Excellent,Automatic,6,gas,152000,Avg CC,18,0
2014,chevrolet,silverado 1500,Excellent,Manual,8,gas,48304,High CC,43,0
2016,toyota,tundra,Excellent,Manual,8,gas,48879,Low CC,8,0
2015,jeep,wrangler-sahara,Excellent,Manual,6,gas,49040,Avg CC,14,1
1999,toyota,camry,Excellent,Manual,6,gas,164780,Avg CC,17,0
2002,pontiac,trans am,Excellent,Automatic,8,gas,63400,High CC,12,1
2012,volkswagen,jetta tdi,Excellent,Automatic,4,diesel,82000,Low CC,7,0
2002,nissan,frontier,Excellent,Automatic,6,gas,117000,Avg CC,16,0
2007,lexus,rx 350,Excellent,Automatic,6,gas,135982,Low CC,15,0
2007,honda,odyssey touring,Excellent,Automatic,6,gas,137000,Low CC,11,0
2015,jeep,wrangler unlimited sport,Excellent,Automatic,6,gas,62500,High CC,30,0
2014,kia,soul,Excellent,Manual,4,gas,93530,High CC,28,0
2015,jeep,compass,Excellent,Automatic,4,gas,106179,Avg CC,19,0
2005,cadillac,sts,Excellent,Manual,6,gas,76547,Low CC,28,0
2011,ford,f-250 super duty,Excellent,Automatic,8,gas,34815,Avg CC,21,0
2016,cadillac,escalade,Excellent,Manual,8,gas,22587,Avg CC,41,2
2011,dodge,journey,Excellent,Automatic,4,gas,136306,Avg CC,6,0
2015,ford,f150 super crew cab xlt,Excellent,Manual,6,gas,106410,Avg CC,40,0
2003,ford,excursion powerstroke,Excellent,Automatic,8,diesel,177575,Low CC,47,0
2006,ford,explorer,Excellent,Manual,8,gas,188731,Low CC,21,0
2009,ram,1500 slt,Excellent,Automatic,8,gas,142000,High CC,32,0
2004,gmc,envoy slt,Excellent,Automatic,6,gas,94400,Avg CC,50,0
2014,cadillac,cts coupe,Excellent,Manual,6,gas,23000,Low CC,7,0
2011,nissan,murano,Excellent,Automatic,6,gas,101820,Low CC,49,0
2012,dodge,grand caravna,Excellent,Automatic,6,gas,51784,Low CC,43,0
2016,ford,f-150,Excellent,Manual,6,gas,30525,Low CC,5,1
2003,toyota,avalon,Excellent,Automatic,6,gas,129000,Avg CC,37,0
2007,toyota,rav4,Excellent,Manual,4,gas,87110,High CC,42,0
2006,chevrolet,uplander,Excellent,Automatic,6,gas,128955,Low CC,34,0
2007,toyota,avalon xls,Excellent,Automatic,6,gas,206480,Low CC,22,0
2005,ford,focus,Excellent,Automatic,4,gas,138071,Low CC,39,0
2008,dodge,sprinter van,Excellent,Manual,6,diesel,84248,Avg CC,21,0
2003,ford,thunderbird,Excellent,Automatic,8,gas,111000,Low CC,30,0
2016,subaru,crosstrek premium awd,Excellent,Automatic,4,gas,52023,High CC,43,0
